episode:1, reward: -50, mean reward: -4.78, score: -57.349297345650214, epsilon: 0.8855328648569292, total steps: 516
episode:43, reward: -50, mean reward: -8.8, score: -52.789847126884496, epsilon: 0.8740817060470055, total steps: 930
episode:44, reward: -50, mean reward: -6.99, score: -55.92721039825555, epsilon: 0.8738619802234716, total steps: 938
episode:45, reward: -50, mean reward: -4.3, score: -55.84464258478539, epsilon: 0.8735050507056888, total steps: 951
episode:46, reward: -50, mean reward: -13.08, score: -52.312309964137725, epsilon: 0.873395257351981, total steps: 955
episode:47, reward: -50, mean reward: -5.62, score: -56.1579333032722, epsilon: 0.8731208380052957, total steps: 965
episode:48, reward: -50, mean reward: -17.31, score: -51.937143851486866, epsilon: 0.8730385300369622, total steps: 968
episode:49, reward: -50, mean reward: -13.14, score: -52.56547045786223, epsilon: 0.8729287988818635, total steps: 972
episode:50, reward: -50, mean reward: -10.74, score: -53.710801319459165, epsilon: 0.8727916555109816, total steps: 977
episode:51, reward: -50, mean reward: -5.48, score: -54.7891044191209, epsilon: 0.8725174373313803, total steps: 987
episode:52, reward: -50, mean reward: -3.68, score: -58.89413466501635, epsilon: 0.8720788783242676, total steps: 1003
episode:53, reward: -50, mean reward: -13.28, score: -53.118808254830896, epsilon: 0.8719692751142006, total steps: 1007
episode:54, reward: -50, mean reward: -17.31, score: -51.92883301372662, epsilon: 0.8718870822963987, total steps: 1010
episode:55, reward: -50, mean reward: -10.62, score: -53.102388258158214, epsilon: 0.8717501125304802, total steps: 1015
episode:56, reward: -50, mean reward: -16.94, score: -50.81867628430676, epsilon: 0.8716679416278407, total steps: 1018
episode:57, reward: -50, mean reward: -2.53, score: -70.86226152785675, epsilon: 0.8709014093197097, total steps: 1046
episode:58, reward: -50, mean reward: -10.45, score: -52.25636003894405, epsilon: 0.8707646038189315, total steps: 1051
episode:59, reward: -50, mean reward: -17.31, score: -51.935286599395454, epsilon: 0.870682531462236, total steps: 1054
episode:60, reward: -50, mean reward: -7.77, score: -54.36075379493856, epsilon: 0.870491061210626, total steps: 1061
episode:61, reward: -50, mean reward: -6.25, score: -56.20840379337251, epsilon: 0.8702449508106687, total steps: 1070
episode:62, reward: -50, mean reward: -9.39, score: -56.323182315474085, epsilon: 0.870080918224312, total steps: 1076
episode:63, reward: -50, mean reward: -8.14, score: -57.002110367974936, epsilon: 0.8698895883327483, total steps: 1083
episode:64, reward: -50, mean reward: -8.84, score: -53.03816523414392, epsilon: 0.8697256268117806, total steps: 1089
episode:65, reward: -50, mean reward: -13.28, score: -53.116674942275054, epsilon: 0.8696163373476651, total steps: 1093
episode:66, reward: -50, mean reward: -17.05, score: -51.15691913426113, epsilon: 0.8695343798118754, total steps: 1096
episode:67, reward: -50, mean reward: -6.08, score: -60.75404945296842, epsilon: 0.8692612472099008, total steps: 1106
episode:68, reward: -50, mean reward: -7.23, score: -57.856811884293336, epsilon: 0.8690428066706778, total steps: 1114
episode:69, reward: -50, mean reward: -6.48, score: -58.34128285144941, epsilon: 0.8687971306819176, total steps: 1123
episode:70, reward: -50, mean reward: -13.14, score: -52.56681887799266, epsilon: 0.8686879650090332, total steps: 1127
episode:71, reward: -50, mean reward: -17.32, score: -51.94513530399557, epsilon: 0.8686061003058356, total steps: 1130
episode:72, reward: -50, mean reward: -13.14, score: -52.54259555697254, epsilon: 0.8684969601019702, total steps: 1134
episode:73, reward: -50, mean reward: -13.29, score: -53.16214917657999, epsilon: 0.8683878344491618, total steps: 1138
episode:74, reward: -50, mean reward: -5.76, score: -57.560538894996796, epsilon: 0.8681150839652848, total steps: 1148
episode:75, reward: -50, mean reward: -17.31, score: -51.9434166582284, epsilon: 0.8680332765473274, total steps: 1151
episode:76, reward: -50, mean reward: -17.21, score: -51.629872774643246, epsilon: 0.8679514773097027, total steps: 1154
episode:77, reward: -50, mean reward: -17.04, score: -51.12160734489973, epsilon: 0.8678696862515928, total steps: 1157
episode:78, reward: -50, mean reward: -5.92, score: -59.24790219706222, epsilon: 0.8675971084549988, total steps: 1167
episode:79, reward: -50, mean reward: -13.29, score: -53.144227246079424, epsilon: 0.8674881027744118, total steps: 1171
episode:80, reward: -50, mean reward: -13.17, score: -52.66823533719908, epsilon: 0.8673791116269465, total steps: 1175
episode:81, reward: -50, mean reward: -2.09, score: -89.95952863130316, epsilon: 0.8662083741292557, total steps: 1218
episode:82, reward: -50, mean reward: -6.17, score: -55.51248037487284, epsilon: 0.8659635483427212, total steps: 1227
episode:83, reward: -50, mean reward: -13.17, score: -52.682303568950815, epsilon: 0.865854760455629, total steps: 1231
episode:84, reward: -50, mean reward: -1.54, score: -138.87921433103253, epsilon: 0.8634108638520896, total steps: 1321
episode:85, reward: -50, mean reward: -9.3, score: -55.7859543028957, epsilon: 0.8632481979464521, total steps: 1327
episode:86, reward: -50, mean reward: -13.23, score: -52.91260417899994, epsilon: 0.8631397720819441, total steps: 1331
episode:87, reward: -50, mean reward: -5.42, score: -59.6191881703555, epsilon: 0.862841675486563, total steps: 1342
episode:88, reward: -50, mean reward: -2.92, score: -72.96069382498113, epsilon: 0.8621645895819676, total steps: 1367
episode:89, reward: -50, mean reward: -3.98, score: -63.61048488531233, epsilon: 0.8617315506215114, total steps: 1383
episode:90, reward: -50, mean reward: -17.31, score: -51.93607720511295, epsilon: 0.8616503815249718, total steps: 1386
episode:91, reward: -50, mean reward: -17.31, score: -51.943414936036206, epsilon: 0.8615692205449358, total steps: 1389
episode:92, reward: -50, mean reward: -4.39, score: -61.4363430359589, epsilon: 0.8611905765991406, total steps: 1403
episode:93, reward: -50, mean reward: -13.25, score: -52.99018336476642, epsilon: 0.8610824250658564, total steps: 1407
episode:94, reward: -50, mean reward: -13.12, score: -52.484581778325506, epsilon: 0.8609742879518154, total steps: 1411
episode:95, reward: -50, mean reward: -17.31, score: -51.932333407097445, epsilon: 0.8608931945777566, total steps: 1414
episode:96, reward: -50, mean reward: -16.99, score: -50.9773939325453, epsilon: 0.8608121093126296, total steps: 1417
episode:97, reward: -50, mean reward: -3.87, score: -61.923999352892736, epsilon: 0.8603797914826651, total steps: 1433
episode:98, reward: -50, mean reward: -2.53, score: -73.46998358137881, epsilon: 0.8595968028563729, total steps: 1462
episode:99, reward: -50, mean reward: -6.61, score: -59.4756555474481, epsilon: 0.8593539602437291, total steps: 1471
episode:100, reward: -50, mean reward: -8.96, score: -53.75175298237137, epsilon: 0.8591921056376804, total steps: 1477
episode:101, reward: -50, mean reward: -11.0, score: -55.01372981946572, epsilon: 0.8590572515248958, total steps: 1482
episode:102, reward: -50, mean reward: -3.89, score: -66.07086711378524, epsilon: 0.8585989156231353, total steps: 1499
episode:103, reward: -50, mean reward: -7.21, score: -57.67499545114512, epsilon: 0.8583833179932641, total steps: 1507
episode:104, reward: -50, mean reward: -17.31, score: -51.92752759723383, epsilon: 0.8583024837032465, total steps: 1510
episode:105, reward: -50, mean reward: -3.39, score: -71.1361881375334, epsilon: 0.8577368699525629, total steps: 1531
episode:106, reward: -50, mean reward: -4.95, score: -54.49391899426867, epsilon: 0.8574407540581451, total steps: 1542
episode:107, reward: -50, mean reward: -13.33, score: -53.32083901415869, epsilon: 0.8573331024678696, total steps: 1546
episode:108, reward: -50, mean reward: -4.57, score: -63.977125862155575, epsilon: 0.8569564349159825, total steps: 1560
episode:109, reward: -50, mean reward: -10.94, score: -54.722745571108845, epsilon: 0.8568219533839355, total steps: 1565
episode:110, reward: -50, mean reward: -3.77, score: -64.07440200680647, epsilon: 0.8563648837922998, total steps: 1582
episode:111, reward: -50, mean reward: -5.38, score: -59.189730819434104, epsilon: 0.8560692708672575, total steps: 1593
episode:112, reward: -50, mean reward: -10.77, score: -53.84778997219264, epsilon: 0.8559349371835642, total steps: 1598
episode:113, reward: -50, mean reward: -13.13, score: -52.509278390293744, epsilon: 0.8558274863554874, total steps: 1602
episode:114, reward: -50, mean reward: -17.01, score: -51.022950284937224, epsilon: 0.855746907635855, total steps: 1605
episode:115, reward: -50, mean reward: -12.97, score: -51.87829747798068, epsilon: 0.8556394818767133, total steps: 1609
episode:116, reward: -50, mean reward: -13.13, score: -52.50074885970531, epsilon: 0.8555320704400513, total steps: 1613
episode:117, reward: -50, mean reward: -7.84, score: -54.89500252869357, epsilon: 0.8553441348836163, total steps: 1620
episode:118, reward: -50, mean reward: -3.53, score: -67.07906787731727, epsilon: 0.8548342450803379, total steps: 1639
episode:119, reward: -50, mean reward: -10.79, score: -53.92921921541323, epsilon: 0.8547001172171236, total steps: 1644
episode:120, reward: -50, mean reward: -6.13, score: -55.129633913657486, epsilon: 0.8544587433898428, total steps: 1653
episode:121, reward: -50, mean reward: -10.84, score: -54.18373582947726, epsilon: 0.8543246781050285, total steps: 1658
episode:122, reward: -50, mean reward: -16.97, score: -50.90671318797112, epsilon: 0.8542442496587074, total steps: 1661
episode:123, reward: -50, mean reward: -17.38, score: -52.14255261332333, epsilon: 0.8541638292548288, total steps: 1664
episode:124, reward: -50, mean reward: -4.18, score: -62.74833710488012, epsilon: 0.8537618478439287, total steps: 1679
episode:125, reward: -50, mean reward: -6.25, score: -56.25794975728367, epsilon: 0.8535207554552421, total steps: 1688
episode:126, reward: -50, mean reward: -17.05, score: -51.15702086274432, epsilon: 0.8534404073971663, total steps: 1691
episode:127, reward: -50, mean reward: -13.13, score: -52.507646139056206, epsilon: 0.8533332891508886, total steps: 1695
episode:128, reward: -50, mean reward: -17.31, score: -51.92940670972119, epsilon: 0.8532529598385059, total steps: 1698
episode:129, reward: -50, mean reward: -4.73, score: -61.49983368660588, epsilon: 0.8529049589615448, total steps: 1711
episode:130, reward: -50, mean reward: -13.21, score: -52.83948993346269, epsilon: 0.8527979121036324, total steps: 1715
episode:131, reward: -50, mean reward: -17.2, score: -51.59829936277059, epsilon: 0.8527176363262778, total steps: 1718
episode:132, reward: -50, mean reward: -13.06, score: -52.243762174552685, epsilon: 0.8526106144430518, total steps: 1722
episode:133, reward: -50, mean reward: -1.54, score: -73.70158660371999, epsilon: 0.851327464253833, total steps: 1770
episode:134, reward: -50, mean reward: -10.78, score: -53.9009093817853, epsilon: 0.8511939208053871, total steps: 1775
episode:135, reward: -50, mean reward: -13.42, score: -53.68045754821841, epsilon: 0.851087102070687, total steps: 1779
episode:136, reward: -50, mean reward: -9.06, score: -54.38246688164247, epsilon: 0.8509269006709469, total steps: 1785
episode:137, reward: -50, mean reward: -11.0, score: -55.017188983795194, epsilon: 0.8507934239775351, total steps: 1790
episode:138, reward: -50, mean reward: -12.96, score: -51.836215381761704, epsilon: 0.8506866586388522, total steps: 1794
episode:139, reward: -50, mean reward: -17.29, score: -51.869690735633114, epsilon: 0.8506065939762881, total steps: 1797
episode:140, reward: -50, mean reward: -17.3, score: -51.90919734784323, epsilon: 0.8505265373197901, total steps: 1800
episode:141, reward: -50, mean reward: -1.49, score: -77.6488297465186, epsilon: 0.8491401598626731, total steps: 1852
episode:142, reward: -50, mean reward: -8.68, score: -52.09895842193619, epsilon: 0.8489803478124383, total steps: 1858
episode:143, reward: -50, mean reward: -4.42, score: -61.8787821028084, epsilon: 0.848607577303343, total steps: 1872
episode:144, reward: -50, mean reward: -13.36, score: -53.45378700623935, epsilon: 0.8485011033914545, total steps: 1876
episode:145, reward: -50, mean reward: -17.04, score: -51.12157621802113, epsilon: 0.8484212572734877, total steps: 1879
episode:146, reward: -50, mean reward: -13.14, score: -52.55476284752281, epsilon: 0.8483148082026137, total steps: 1883
episode:147, reward: -50, mean reward: -3.64, score: -61.83185563127424, epsilon: 0.8478625579609692, total steps: 1900
episode:148, reward: -50, mean reward: -17.06, score: -51.187195104951485, epsilon: 0.8477827756943529, total steps: 1903
episode:149, reward: -50, mean reward: -10.62, score: -53.08633913599117, epsilon: 0.8476498229781047, total steps: 1908
episode:150, reward: -50, mean reward: -9.03, score: -54.178303747222714, epsilon: 0.847490308965442, total steps: 1914
episode:151, reward: -50, mean reward: -16.91, score: -50.74078539943504, epsilon: 0.8474105639218641, total steps: 1917
episode:152, reward: -50, mean reward: -7.26, score: -58.07597170582322, epsilon: 0.8471979494546739, total steps: 1925
episode:153, reward: -50, mean reward: -13.27, score: -53.09809749671186, epsilon: 0.8470916634806356, total steps: 1929
episode:154, reward: -50, mean reward: -6.52, score: -58.69185447819619, epsilon: 0.8468525718471297, total steps: 1938
episode:155, reward: -50, mean reward: -9.25, score: -55.50398193220589, epsilon: 0.8466932172687492, total steps: 1944
episode:156, reward: -50, mean reward: -13.28, score: -53.12073886767507, epsilon: 0.8465869985878495, total steps: 1948
episode:157, reward: -50, mean reward: -5.94, score: -59.36126832263716, epsilon: 0.8463215138382366, total steps: 1958
episode:158, reward: -50, mean reward: -12.95, score: -51.79653837556272, epsilon: 0.8462153447144904, total steps: 1962
episode:159, reward: -50, mean reward: -6.68, score: -60.09772376711035, epsilon: 0.8459765159371839, total steps: 1971
episode:160, reward: -50, mean reward: -3.26, score: -71.76505353471902, epsilon: 0.8453930138024289, total steps: 1993
episode:161, reward: -50, mean reward: -8.2, score: -57.38730085505851, epsilon: 0.8452074437498898, total steps: 2000
episode:162, reward: -50, mean reward: -6.8, score: -54.391867940829016, epsilon: 0.8449954167030858, total steps: 2008
episode:163, reward: -50, mean reward: -17.32, score: -51.9482264918762, epsilon: 0.8449159211362601, total steps: 2011
episode:164, reward: -50, mean reward: -13.64, score: -54.573466144297456, epsilon: 0.8448099394123805, total steps: 2015
episode:165, reward: -50, mean reward: -17.31, score: -51.9214770773346, epsilon: 0.8447304623923566, total steps: 2018
episode:166, reward: -50, mean reward: -16.93, score: -50.80342386491837, epsilon: 0.8446509933196372, total steps: 2021
episode:167, reward: -50, mean reward: -17.31, score: -51.94269757730518, epsilon: 0.8445715321934277, total steps: 2024
episode:168, reward: -50, mean reward: -17.46, score: -52.388210292222894, epsilon: 0.8444920790129335, total steps: 2027
episode:169, reward: -50, mean reward: -8.16, score: -57.10394273305788, epsilon: 0.8443067191539885, total steps: 2034
episode:170, reward: -50, mean reward: -13.55, score: -54.207887558288164, epsilon: 0.844200818651625, total steps: 2038
episode:171, reward: -50, mean reward: -4.63, score: -55.5965109449574, epsilon: 0.8438832018517591, total steps: 2050
episode:172, reward: -50, mean reward: -13.27, score: -53.06421176475432, epsilon: 0.843777357814605, total steps: 2054
episode:173, reward: -50, mean reward: -16.92, score: -50.77352839765709, epsilon: 0.8436979840475779, total steps: 2057
episode:174, reward: -50, mean reward: -17.29, score: -51.86981861638917, epsilon: 0.8436186182175308, total steps: 2060
episode:175, reward: -50, mean reward: -17.31, score: -51.94484073049041, epsilon: 0.8435392603236699, total steps: 2063
episode:176, reward: -50, mean reward: -13.15, score: -52.604354552433534, epsilon: 0.8434334621423288, total steps: 2067
episode:177, reward: -50, mean reward: -7.12, score: -56.9708661252766, epsilon: 0.8432219080942177, total steps: 2075
episode:178, reward: -50, mean reward: -17.73, score: -53.199349567702015, epsilon: 0.8431425898693855, total steps: 2078
episode:179, reward: -50, mean reward: -13.3, score: -53.212122656699236, epsilon: 0.8430368445739127, total steps: 2082
episode:180, reward: -50, mean reward: -8.14, score: -56.962882351410755, epsilon: 0.8428518242300583, total steps: 2089
episode:181, reward: -50, mean reward: -9.27, score: -55.644853945624405, epsilon: 0.8426932697211917, total steps: 2095
episode:182, reward: -50, mean reward: -17.31, score: -51.92665580418682, epsilon: 0.8426140043575538, total steps: 2098
episode:183, reward: -50, mean reward: -8.78, score: -52.70760856967679, epsilon: 0.8424554974079056, total steps: 2104
episode:184, reward: -50, mean reward: -13.29, score: -53.16844167060772, epsilon: 0.8423498437186537, total steps: 2108
episode:185, reward: -50, mean reward: -4.86, score: -58.32847228733273, epsilon: 0.8420329671607029, total steps: 2120
episode:186, reward: -50, mean reward: -13.09, score: -52.378696604959686, epsilon: 0.8419273698050616, total steps: 2124
episode:187, reward: -50, mean reward: -13.11, score: -52.43724383573036, epsilon: 0.8418217865281292, total steps: 2128
episode:188, reward: -50, mean reward: -3.39, score: -67.86534829156821, epsilon: 0.8412940812584117, total steps: 2148
episode:189, reward: -50, mean reward: -6.98, score: -55.84276013636685, epsilon: 0.8410830976358094, total steps: 2156
episode:190, reward: -50, mean reward: -7.81, score: -54.63601089239032, epsilon: 0.8408985331130594, total steps: 2163
episode:191, reward: -50, mean reward: -4.16, score: -58.20677731983629, epsilon: 0.8405295332376075, total steps: 2177
episode:192, reward: -50, mean reward: -13.21, score: -52.82521597365053, epsilon: 0.8404241363264594, total steps: 2181
episode:193, reward: -50, mean reward: -13.27, score: -53.07762787111001, epsilon: 0.8403187534672959, total steps: 2185
episode:194, reward: -50, mean reward: -16.98, score: -50.9442444954482, epsilon: 0.8402397255434112, total steps: 2188
episode:195, reward: -50, mean reward: -3.62, score: -65.24318060804896, epsilon: 0.8397657239227914, total steps: 2206
episode:196, reward: -50, mean reward: -17.32, score: -51.95504897047684, epsilon: 0.8396867512990962, total steps: 2209
episode:197, reward: -50, mean reward: -6.0, score: -60.04426607374063, epsilon: 0.8394235662486085, total steps: 2219
episode:198, reward: -50, mean reward: -10.85, score: -54.26492115755626, epsilon: 0.8392920066178408, total steps: 2224
episode:199, reward: -50, mean reward: -5.69, score: -56.85442160680175, epsilon: 0.8390289531269857, total steps: 2234
episode:200, reward: -50, mean reward: -2.62, score: -81.23972499035334, epsilon: 0.8382140443174845, total steps: 2265
episode:201, reward: -50, mean reward: -7.96, score: -55.73424419469974, epsilon: 0.8380301491624128, total steps: 2272
episode:202, reward: -50, mean reward: -17.32, score: -51.9509730682569, epsilon: 0.837951350087516, total steps: 2275
episode:203, reward: -50, mean reward: -17.1, score: -51.29306191434206, epsilon: 0.8378725588921326, total steps: 2278
episode:204, reward: -50, mean reward: -3.38, score: -60.88153550387044, epsilon: 0.8373999771454989, total steps: 2296
episode:205, reward: -50, mean reward: -13.53, score: -54.13734769987758, epsilon: 0.8372949974806793, total steps: 2300
episode:206, reward: -50, mean reward: -17.31, score: -51.94412298457141, epsilon: 0.837216271917275, total steps: 2303
episode:207, reward: -50, mean reward: -8.0, score: -55.985260327179276, epsilon: 0.8370326095486039, total steps: 2310
episode:208, reward: -50, mean reward: -17.41, score: -52.2255106813102, epsilon: 0.8369539102226808, total steps: 2313
episode:209, reward: -50, mean reward: -10.92, score: -54.61853896110479, epsilon: 0.836822762166952, total steps: 2318
episode:210, reward: -50, mean reward: -17.31, score: -51.93368319731704, epsilon: 0.8367440838247181, total steps: 2321
episode:211, reward: -50, mean reward: -6.04, score: -60.41357900294834, epsilon: 0.836481879499925, total steps: 2331
episode:212, reward: -50, mean reward: -10.77, score: -53.853164338772075, epsilon: 0.8363508101094277, total steps: 2336
episode:213, reward: -50, mean reward: -9.17, score: -55.02507724683531, epsilon: 0.8361935556733736, total steps: 2342
episode:214, reward: -50, mean reward: -17.31, score: -51.937491532918145, epsilon: 0.8361149402486431, total steps: 2345
episode:215, reward: -50, mean reward: -17.31, score: -51.91684937259207, epsilon: 0.8360363326850618, total steps: 2348
episode:216, reward: -50, mean reward: -9.06, score: -54.37793088811448, epsilon: 0.8358791411382035, total steps: 2354
episode:217, reward: -50, mean reward: -5.72, score: -57.21981225530274, epsilon: 0.8356172250795922, total steps: 2364
episode:218, reward: -50, mean reward: -9.23, score: -55.39638754942344, epsilon: 0.8354601173458734, total steps: 2370
episode:219, reward: -50, mean reward: -13.28, score: -53.11002149652636, epsilon: 0.8353553963117848, total steps: 2374
episode:220, reward: -50, mean reward: -16.87, score: -50.619207498609356, epsilon: 0.8352768646987996, total steps: 2377
episode:221, reward: -50, mean reward: -17.17, score: -51.49507566866794, epsilon: 0.8351983409385833, total steps: 2380
episode:222, reward: -50, mean reward: -17.32, score: -51.94889940843066, epsilon: 0.8351198250303502, total steps: 2383
episode:223, reward: -50, mean reward: -4.85, score: -63.04213234440772, epsilon: 0.8347796801428853, total steps: 2396
episode:224, reward: -50, mean reward: -3.86, score: -65.60536189551394, epsilon: 0.8343350976344117, total steps: 2413
episode:225, reward: -50, mean reward: -17.12, score: -51.36328095143109, epsilon: 0.8342566680461931, total steps: 2416
episode:226, reward: -50, mean reward: -8.1, score: -56.709100035155785, epsilon: 0.8340736961711979, total steps: 2423
episode:227, reward: -50, mean reward: -13.29, score: -53.15581113343802, epsilon: 0.8339691599809426, total steps: 2427
episode:228, reward: -50, mean reward: -17.26, score: -51.79303607572494, epsilon: 0.8338907669846596, total steps: 2430
episode:229, reward: -50, mean reward: -4.37, score: -56.746335508219346, epsilon: 0.8335511545736363, total steps: 2443
episode:230, reward: -50, mean reward: -9.34, score: -56.02203728822991, epsilon: 0.8333944600127, total steps: 2449
episode:231, reward: -50, mean reward: -10.62, score: -53.088891159267106, epsilon: 0.8332639051492388, total steps: 2454
episode:232, reward: -50, mean reward: -17.11, score: -51.34068838879354, epsilon: 0.8331855826749128, total steps: 2457
episode:233, reward: -50, mean reward: -17.17, score: -51.51972246113705, epsilon: 0.8331072680324427, total steps: 2460
episode:234, reward: -50, mean reward: -10.46, score: -52.32369627682766, epsilon: 0.8329767610303229, total steps: 2465
episode:235, reward: -50, mean reward: -2.15, score: -79.4823761129836, epsilon: 0.8320116849443042, total steps: 2502
episode:236, reward: -50, mean reward: -9.33, score: -56.00436032234201, epsilon: 0.8318552982465064, total steps: 2508
episode:237, reward: -50, mean reward: -7.92, score: -55.452555506562604, epsilon: 0.8316728866257656, total steps: 2515
episode:238, reward: -50, mean reward: -17.31, score: -51.93136730915799, epsilon: 0.8315947232453372, total steps: 2518
episode:239, reward: -50, mean reward: -8.79, score: -52.72627048072792, epsilon: 0.8314384199315406, total steps: 2524
episode:240, reward: -50, mean reward: -17.28, score: -51.83551563906255, epsilon: 0.8313602799966092, total steps: 2527
episode:241, reward: -50, mean reward: -17.12, score: -51.35824670433638, epsilon: 0.8312821478752808, total steps: 2530
episode:242, reward: -50, mean reward: -17.24, score: -51.71690234156014, epsilon: 0.8312040235667738, total steps: 2533
episode:243, reward: -50, mean reward: -8.93, score: -53.58020432836089, epsilon: 0.8310477983850993, total steps: 2539
episode:244, reward: -50, mean reward: -5.54, score: -55.37067037417198, epsilon: 0.8307874925056944, total steps: 2549
episode:245, reward: -50, mean reward: -7.69, score: -53.84461136718491, epsilon: 0.8306053300105606, total steps: 2556
episode:246, reward: -50, mean reward: -8.74, score: -52.4385108048636, epsilon: 0.8304492245556243, total steps: 2562
episode:247, reward: -50, mean reward: -2.15, score: -79.537016016207, epsilon: 0.8294872638430493, total steps: 2599
episode:248, reward: -50, mean reward: -6.66, score: -59.969535777072394, epsilon: 0.8292534527373158, total steps: 2608
episode:249, reward: -50, mean reward: -17.01, score: -51.03806161878023, epsilon: 0.8291755312881794, total steps: 2611
episode:250, reward: -50, mean reward: -10.75, score: -53.74846909378802, epsilon: 0.8290456795209127, total steps: 2616
episode:251, reward: -50, mean reward: -17.45, score: -52.34390021654187, epsilon: 0.8289677788480592, total steps: 2619
episode:252, reward: -50, mean reward: -13.28, score: -53.13412592694331, epsilon: 0.8288639234013964, total steps: 2623
episode:253, reward: -50, mean reward: -13.1, score: -52.41499092916504, epsilon: 0.8287600818012034, total steps: 2627
episode:254, reward: -50, mean reward: -10.4, score: -52.0219974548594, epsilon: 0.8286302992697478, total steps: 2632
